App,review_date,review_description,rating,thumbsUpCount,developer_response,developer_response_date,appVersion
Swiggy,2023-07-24 09:57:40,I have been using swiggy for a long time and It worked fine untill i encountered this error where they show you an offer to buy swiggy one but the app doesn't work when you actually try to proceed to buy swiggy one membership. And to think such a big company would let such a bug persist in their consumer app without resolution after it was reported is just senseless for a software developer like me. For that reason alone I am eating it 2 stars,2,103,"Hey there, we apologize for the inconvenience caused. We request you to kindly let us know more about the issue by writing to us at swiggysocial@swiggy.in from your registered email address, so we can look into it and have it fixed at the earliest.",2023-07-24 10:02:21,4.37.2
Swiggy,2023-07-23 10:35:23,"Worst experiences I'm having with the app for last couple of months...but today's was worst. Such a irresponsible delivery partner,app is worst and the customer support was horrible. I don't even prefer giving 1 rating but wanted to put my feedback and app asked for feedback... I hope better competition these people would have soon apart from Zomato to take them off Market... Also a good salute to delivery partners who worked hard than what I had experienced.",1,12,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2023-07-23 10:42:22,4.37.2
Swiggy,2023-07-24 14:48:26,The best foolishing app with offers. The app offered like one item free when you order over 199. But delivered without the item. And when contacted support(Gladis) told like they have nothing to do with it. Very bad experience from support team.,1,7,"We are sorry to let you down. Please write to us at swiggysocial@swiggy.in from your registered email address elaborating further on your ordeal, so we can expiate for the miss.",2023-07-24 14:52:22,4.37.2
Swiggy,2023-07-07 08:26:00,"Title: Disappointing Experience with Swiggy Instamart I had a disappointing experience with Swiggy Instamart recently. I ordered a few items, but two of them were missing from the delivery. These missing items cost me 400 rupees. Despite reaching out to Swiggy Instamart's customer support, they refused to acknowledge the missing items or provide a refund. Their lack of responsiveness and unwillingness to address the issue left me frustrated and dissatisfied. I provided evidence of the missing",1,85,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2023-07-07 08:32:20,4.36.1
Swiggy,2023-07-19 07:40:05,"Worst ever experience. I ordered from instamart and got only few items. On complaining, swiggy told me that they will share feedback with vendor management team instead of giving me the refund (they charged me for delivery already). Happened more that twice. Uninstalling app and never using again. The support is automated with no human intervention and no action taken even after multiple emails. Totally harrowing experiences lately. Losing money on every transaction with swiggy.",1,29,"We're apologetic about this experience you've faced while ordering with us. Please write to us at swiggysocial@swiggy.in from your registered email address detailing your experience, so we can look into the issue and resolve it for you.",2023-07-19 07:42:22,4.36.3
Swiggy,2023-07-23 19:50:01,I got expired items in instamart and support says that they will just forward feedback to vendor. Instead of either replacement or refund. They even moved their support from in app to emails which is basically a bot sending automated emails. Even after multiple emails I was given no replacement or refund. I would not recommend using swiggy.,1,8,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,2023-07-23 19:52:20,4.37.1
Swiggy,2023-07-16 22:40:33,"Overpriced. When i order multiple items, the restaurant miss to pack one or two items. When i complaint it, swiggy will just return my amount. But whats the use in getting back money for their mistake, still the food is missed. There should be option to collect the missed items and deliver it to the customer. There is no way to contact customer care. Only the chat app which is automated.",1,99,"Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2023-07-16 22:42:19,4.36.3
Swiggy,2023-07-17 14:46:08,Worst Fraud app. They want us yo cancel the order with in one minute. But there's no cancellation option. Rather you can cancel the order by chatting with the bot. That's not the whole story. The chat bot ask you 4 times to confirm of you want to cancel the order and that's how they will deduct the entire money because you can't cancel the order within one minute. And the customer support asked to send an email bacause they can't do anything from there end.,1,46,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2023-07-17 14:52:21,4.36.3
Swiggy,2023-07-23 15:34:28,"Honest Review - - - - There is no option to give zero stars or I would have done that. Since a few weeks whenever there is a defect in the order delivered or some items are missing, after contacting chat, they ask to send an email and on email they say they can't do anything, even when order items are missing. This is ridiculous and unacceptable!. Hard earned money going to waste... Stay safe people... Zomato or any other brand customer support is much better for sure...",1,4,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2023-07-23 15:42:21,4.36.3
Swiggy,2023-07-14 12:02:00,"Worst delivery experience, if we placed an order delivery parter will take and go for vacation, he will never come back, but still app shows 2 min away. If we reach out to the service providers, they will never listen to the issue or problem we are facing, straight away, they will send mail refund is impossible. Do not use this app. They'll definitely test your patience.",1,176,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2023-07-14 12:02:23,4.36.2
